hc_id,ot_id,allowed
HC1,OT1,False
HC1,OT2,False
HC1,OT3,False
HC1,OT4,False
HC1,OT5,True
HC1,OT6,True
HC1,OT7,False
HC1,OT8,False
HC1,OT9,False
HC1,OT10,False
HC1,OT11,False
HC1,OT12,False
HC1,OT13,False
HC1,OT14,False
HC1,OT15,False
HC2,OT1,False
HC2,OT2,False
HC2,OT3,True
HC2,OT4,True
HC2,OT5,True
HC2,OT6,False
HC2,OT7,False
HC2,OT8,False
HC2,OT9,False
HC2,OT10,False
HC2,OT11,False
HC2,OT12,False
HC2,OT13,False
HC2,OT14,False
HC2,OT15,True
HC3,OT1,True
HC3,OT2,True
HC3,OT3,True
HC3,OT4,False
HC3,OT5,False
HC3,OT6,True
HC3,OT7,False
HC3,OT8,False
HC3,OT9,False
HC3,OT10,False
HC3,OT11,False
HC3,OT12,False
HC3,OT13,False
HC3,OT14,False
HC3,OT15,True
HC4,OT1,True
HC4,OT2,False
HC4,OT3,False
HC4,OT4,False
HC4,OT5,False
HC4,OT6,True
HC4,OT7,False
HC4,OT8,False
HC4,OT9,True
HC4,OT10,False
HC4,OT11,False
HC4,OT12,False
HC4,OT13,False
HC4,OT14,False
HC4,OT15,True
HC5,OT1,False
HC5,OT2,False
HC5,OT3,False
HC5,OT4,False
HC5,OT5,False
HC5,OT6,True
HC5,OT7,True
HC5,OT8,True
HC5,OT9,False
HC5,OT10,False
HC5,OT11,False
HC5,OT12,False
HC5,OT13,True
HC5,OT14,False
HC5,OT15,True
HC6,OT1,False
HC6,OT2,False
HC6,OT3,False
HC6,OT4,False
HC6,OT5,True
HC6,OT6,True
HC6,OT7,False
HC6,OT8,True
HC6,OT9,False
HC6,OT10,True
HC6,OT11,False
HC6,OT12,False
HC6,OT13,False
HC6,OT14,False
HC6,OT15,True
HC7,OT1,False
HC7,OT2,False
HC7,OT3,False
HC7,OT4,False
HC7,OT5,False
HC7,OT6,True
HC7,OT7,False
HC7,OT8,True
HC7,OT9,False
HC7,OT10,False
HC7,OT11,True
HC7,OT12,False
HC7,OT13,False
HC7,OT14,False
HC7,OT15,False
HC8,OT1,False
HC8,OT2,False
HC8,OT3,False
HC8,OT4,False
HC8,OT5,True
HC8,OT6,False
HC8,OT7,False
HC8,OT8,True
HC8,OT9,False
HC8,OT10,False
HC8,OT11,False
HC8,OT12,True
HC8,OT13,False
HC8,OT14,False
HC8,OT15,False
HC9,OT1,False
HC9,OT2,True
HC9,OT3,False
HC9,OT4,False
HC9,OT5,False
HC9,OT6,True
HC9,OT7,False
HC9,OT8,True
HC9,OT9,False
HC9,OT10,False
HC9,OT11,True
HC9,OT12,False
HC9,OT13,True
HC9,OT14,False
HC9,OT15,False
